data,cena,sprzedane_jednostki,seasonal_factor,zysk
2023-01-01,100.0,25,0.5003749943801583,-250.0
2023-01-02,100.0,24,0.5007822894222178,-260.0
2023-01-03,100.07,24,0.5013375134459223,-258.32000000000016
2023-01-04,100.44,25,0.5020405019264105,-239.00000000000006
2023-01-05,100.22,27,0.5028910465530241,-224.06000000000006
2023-01-06,100.33,25,0.5038888952910339,-241.75000000000006
2023-01-07,100.88,23,0.5050337524563235,-249.7600000000001
2023-01-08,100.97,25,0.5063252788030068,-225.75
2023-01-09,100.91,25,0.5077630916239539,-227.2500000000001
2023-01-10,101.01,24,0.5093467648641954,-235.75999999999988
2023-01-11,100.77,24,0.5110758292471715,-241.5200000000001
2023-01-12,100.79,25,0.5129497724137897,-230.24999999999983
2023-01-13,101.02,24,0.5149680390742464,-235.5200000000001
2023-01-14,100.72,26,0.5171300311725726,-221.28000000000003
2023-01-15,100.77,25,0.5194351080638496,-230.7500000000001
2023-01-16,101.11,25,0.5218825867040472,-222.25
2023-01-17,101.02,24,0.5244717418524232,-235.5200000000001
2023-01-18,101.31,24,0.5272018062864288,-228.55999999999995
2023-01-19,101.01,26,0.5300719710290522,-213.7399999999999
2023-01-20,100.89,25,0.5330813855885375,-227.75
2023-01-21,101.42,27,0.5362291582104017,-191.65999999999997
2023-01-22,101.06,25,0.5395143561416826,-223.49999999999994
2023-01-23,101.31,26,0.5429360059073332,-205.93999999999994
2023-01-24,100.99,27,0.546493093598682,-203.27000000000015
2023-01-25,101.51,24,0.5501845651738784,-223.75999999999988
2023-01-26,101.77,24,0.5540093267702257,-217.5200000000001
2023-01-27,101.61,24,0.5579662450283183,-221.36
2023-01-28,101.91,27,0.5620541474278786,-178.43000000000006
2023-01-29,101.86,25,0.5662718226352015,-203.5
2023-01-30,101.94,28,0.5706180208620986,-165.68000000000006
2023-01-31,101.97,26,0.5750914542362361,-188.78000000000003
2023-02-01,102.79,25,0.579690797182761,-180.24999999999983
2023-02-02,102.48,27,0.5844146868170961,-163.0399999999999
2023-02-03,102.46,28,0.5892617233487929,-151.12000000000018
2023-02-04,102.84,28,0.5942304704963195,-140.4799999999999
2023-02-05,102.5,28,0.5993194559126618,-150.0
2023-02-06,103.03,27,0.6045271716216114,-148.18999999999994
2023-02-07,102.6,27,0.6098520744646123,-159.80000000000018
2023-02-08,102.98,27,0.6152925865580311,-149.5399999999999
2023-02-09,103.42,26,0.6208470957607188,-151.07999999999993
2023-02-10,103.54,26,0.6265139561517223,-147.9599999999998
2023-02-11,103.56,27,0.6322914885180073,-133.87999999999994
2023-02-12,103.66,26,0.6381779808520438,-144.8400000000001
2023-02-13,103.75,26,0.6441716888591127,-142.5
2023-02-14,103.42,28,0.6502708364741765,-124.23999999999995
2023-02-15,103.56,29,0.6564736163881666,-106.75999999999993
2023-02-16,103.65,28,0.6627781905835273,-117.79999999999984
2023-02-17,104.01,29,0.6691826908788608,-93.70999999999987
2023-02-18,103.98,27,0.6756852194825094,-122.5399999999999
2023-02-19,103.64,28,0.6822838495549113,-118.07999999999998
2023-02-20,103.98,28,0.6889766257795662,-108.55999999999989
2023-02-21,103.93,27,0.6957615649424369,-123.88999999999982
2023-02-22,103.99,29,0.7026366565196183,-94.29000000000013
2023-02-23,104.36,29,0.7095998632730995,-83.56
2023-02-24,104.6,30,0.7166491218544412,-62.00000000000017
2023-02-25,104.71,29,0.7237823434161902,-73.4100000000002
2023-02-26,104.46,28,0.7309974142308502,-95.12000000000018
2023-02-27,104.6,31,0.7382921963172249,-47.400000000000205
2023-02-28,104.61,31,0.7456645280739478,-47.09000000000003
2023-03-01,104.83,30,0.7531122249200114,-55.10000000000002
2023-03-02,104.6,30,0.7606330799421057,-62.00000000000017
2023-03-03,104.73,30,0.7682248645485745,-58.09999999999991
2023-03-04,104.46,31,0.7758853291297947,-51.74000000000018
2023-03-05,104.38,33,0.7836122037247844,-25.46000000000015
2023-03-06,104.93,33,0.7914031986938416,-7.309999999999775
2023-03-07,105.07,33,0.7992560053970135,-2.690000000000225
2023-03-08,104.89,31,0.8071682968781965,-38.40999999999997
2023-03-09,105.14,31,0.8151377285546635,-30.659999999999968
2023-03-10,105.05,32,0.8231619389118142,-18.40000000000009
2023-03-11,104.98,31,0.8312385502029433,-35.61999999999989
2023-03-12,105.16,33,0.8393651691538178,0.27999999999985903
2023-03-13,105.43,32,0.8475393876718554,-6.239999999999782
2023-03-14,105.1,33,0.8557587835596955,-1.7000000000001592
2023-03-15,105.4,32,0.8640209212329473,-7.199999999999818
2023-03-16,104.56,35,0.8723233524419065,9.60000000000008
2023-03-17,105.3,33,0.880663616997025,4.89999999999992
2023-03-18,105.12,33,0.8890392434979173,-1.03999999999985
2023-03-19,105.19,32,0.8974477500656904,-13.920000000000073
2023-03-20,105.2,35,0.9058866450783779,32.000000000000114
2023-03-21,104.79,38,0.9143534279092612,62.02000000000021
2023-03-22,105.11,38,0.9228455896678595,74.17999999999995
2023-03-23,105.39,35,0.9313606139433677,38.64999999999998
2023-03-24,105.65,35,0.9398959775503236,47.75000000000023
2023-03-25,105.37,37,0.9484491512762826,68.69000000000017
2023-03-26,105.17,36,0.9570176006312767,46.12000000000012
2023-03-27,105.27,38,0.96559878659884,80.25999999999988
2023-03-28,105.65,38,0.9741901663883731,94.70000000000027
2023-03-29,105.55,39,0.9827891941886271,106.44999999999993
2023-03-30,105.49,38,0.9913933219220826,88.61999999999978
2023-03-31,105.65,38,1.0,94.70000000000027
2023-04-01,105.71,37,1.0086066780779173,81.26999999999975
2023-04-02,106.11,37,1.017210805811373,96.06999999999994
2023-04-03,105.74,39,1.0258098336116268,113.85999999999979
2023-04-04,105.77,39,1.03440121340116,115.02999999999986
2023-04-05,105.9,40,1.0429823993687233,136.00000000000023
2023-04-06,105.84,39,1.0515508487237175,117.7600000000001
2023-04-07,106.13,41,1.0601040224496763,161.3299999999998
2023-04-08,106.08,40,1.0686393860566323,143.19999999999993
2023-04-09,105.99,40,1.0771544103321407,139.5999999999998
2023-04-10,105.79,40,1.085646572090739,131.60000000000025
2023-04-11,105.45,40,1.094113354921622,118.00000000000011
2023-04-12,105.54,43,1.1025522499343097,168.22000000000025
2023-04-13,105.46,43,1.1109607565020827,164.77999999999975
2023-04-14,105.35,43,1.119336383002975,160.04999999999973
2023-04-15,105.48,43,1.1276766475580935,165.6400000000002
2023-04-16,105.73,44,1.1359790787670527,192.12000000000012
2023-04-17,105.91,41,1.1442412164403044,152.30999999999983
2023-04-18,105.64,43,1.1524606123281445,172.51999999999998
2023-04-19,105.61,45,1.1606348308461822,202.44999999999993
2023-04-20,105.52,43,1.1687614497970567,167.3599999999998
2023-04-21,105.19,46,1.176838061088186,198.7399999999999
2023-04-22,105.43,44,1.1848622714453365,178.9200000000003
2023-04-23,105.45,46,1.1928317031218034,210.70000000000016
2023-04-24,105.92,45,1.2007439946029865,216.4000000000001
2023-04-25,105.41,45,1.2085968013061583,193.44999999999982
2023-04-26,105.5,48,1.2163877962752156,244.0
2023-04-27,105.64,46,1.2241146708702053,219.44000000000005
2023-04-28,105.32,47,1.2317751354514255,220.03999999999974
2023-04-29,105.69,47,1.2393669200578943,237.42999999999984
2023-04-30,105.51,49,1.2468877750799885,259.99000000000024
2023-05-01,105.42,47,1.2543354719260522,224.74000000000012
2023-05-02,104.98,50,1.2617078036827751,249.00000000000023
2023-05-03,105.51,49,1.2690025857691498,259.99000000000024
2023-05-04,105.05,51,1.27621765658381,267.54999999999984
